Model name   Start date   End date   Unit   Dimensions   Grid   Resolution   Data type
tas_Amon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 180, 'lon': 288, 'bnds': 2})   X   X   float32
tas_Amon_GFDL-CM4_ssp245_r1i1p1f1_gr2_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 90, 'lon': 144, 'bnds': 2})   X   X   float32
tas_Amon_GFDL-CM4_ssp585_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 180, 'lon': 288, 'bnds': 2})   X   X   float32
tas_Amon_GFDL-CM4_ssp585_r1i1p1f1_gr2_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lat': 90, 'lon': 144, 'bnds': 2})   X   X   float32
tas_Amon_GFDL-ESM4_ssp119_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lat': 180, 'lon': 288, 'time': 1032})   atmos data regridded from Cubed-sphere (c96) to 180,288; interpolation method: conserve_order2   100 km   float32
tas_Amon_GFDL-ESM4_ssp126_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lat': 180, 'lon': 288, 'time': 1032})   atmos data regridded from Cubed-sphere (c96) to 180,288; interpolation method: conserve_order2   100 km   float32
tas_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lat': 180, 'lon': 288, 'time': 1032})   atmos data regridded from Cubed-sphere (c96) to 180,288; interpolation method: conserve_order2   100 km   float32
tas_Amon_GFDL-ESM4_ssp370_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lat': 180, 'lon': 288, 'time': 1032})   atmos data regridded from Cubed-sphere (c96) to 180,288; interpolation method: conserve_order2   100 km   float32
tas_Amon_GFDL-ESM4_ssp585_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lat': 180, 'lon': 288, 'time': 1032})   atmos data regridded from Cubed-sphere (c96) to 180,288; interpolation method: conserve_order2   100 km   float32
tas_Amon_GISS-E2-1-G_ssp119_r1i1p3f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 90, 'lon': 144})   atmospheric grid: 144x90, ocean grid: 288x180   250 km   float32
tas_Amon_GISS-E2-1-G_ssp126_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 90, 'lon': 144})   atmospheric grid: 144x90, ocean grid: 288x180   250 km   float32
tas_Amon_GISS-E2-1-G_ssp245_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 90, 'lon': 144})   atmospheric grid: 144x90, ocean grid: 288x180   250 km   float32
tas_Amon_GISS-E2-1-G_ssp370_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 90, 'lon': 144})   atmospheric grid: 144x90, ocean grid: 288x180   250 km   float32
tas_Amon_GISS-E2-1-G_ssp585_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 90, 'lon': 144})   atmospheric grid: 144x90, ocean grid: 288x180   250 km   float32
tas_Amon_GISS-E2-1-H_ssp126_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 90, 'lon': 144})   atmospheric grid: 144x90, ocean grid: 360x180   250 km   float32
tas_Amon_GISS-E2-1-H_ssp245_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 90, 'lon': 144})   atmospheric grid: 144x90, ocean grid: 360x180   250 km   float32
tas_Amon_GISS-E2-1-H_ssp370_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 90, 'lon': 144})   atmospheric grid: 144x90, ocean grid: 360x180   250 km   float32
tas_Amon_HadGEM3-GC31-LL_ssp126_r1i1p1f3_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   Native N96 grid; 192 x 144 longitude/latitude   250 km   float32
